#Fri May 30 14:23:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               8           -91.2           8.364
               9          -69.25           9.206
              10           30.43           10.61
              11           101.8           10.58
              12          -85.54           9.105
              13          -33.83           9.373
              14           51.56           10.55
              15           101.9           10.36
              16          -77.33           10.23
              17          -56.13           7.956
              18          -32.91           20.79
              19           62.34            8.68
              20          -86.54             9.6
              21          -62.41           8.151
              22           9.344            11.1
              23           93.97           7.918
              24          -88.58           8.617
              25          -59.97            8.49
              26           31.22           9.346
              27           102.5            8.55
              28          -64.48           7.924
              29          -30.81           10.98
              30           51.64           8.625
              31           119.1            9.21
              32          -76.77           10.34
              33          -59.86           8.795
              34           -8.89           11.15
              35           65.66            11.4
              36           -83.3           9.007
              37          -51.08           9.005
              38           23.66           11.37
              39           100.1           10.37
              40          -71.93           8.651
              41          -45.22           8.347
              42           43.46           11.99
              43           100.5           10.68
              44          -49.26           9.728
              45          -6.226           9.393
              46           48.75           9.491
              47           129.7           10.85
              48           -84.4           11.16
              49          -59.36           8.063
              50          -6.495           16.48
              51           77.83           8.192
              52          -93.02           9.184
              53          -55.45           8.224
              54           2.172           10.52
              55           94.62           7.819
              56          -74.36           8.322
              57          -37.32           9.333
              58           43.38           9.227
              59           90.51           8.508
              60          -72.37           7.723
              61          -18.85           14.11
              62            62.2            8.35
              63           130.9           9.823
              64          -80.73           9.892
              65          -37.49           7.635
              66          -5.452           17.64
              67           68.78           14.22
              68          -79.59           9.103
              69          -50.81           7.749
              70            46.3           14.06
              71           97.71           10.96
              72          -53.86            8.48
              73          -16.79            7.58
              74           60.92           13.54
              75           112.7           10.84
              76          -47.63           7.986
              77          -10.32           8.304
              78           62.04            10.6
              79           134.2           11.44
              80          -72.17           11.35
              81           -31.2           7.893
              82          -4.063           12.88
              83           77.58           35.48
              84          -55.93           9.704
              85          -30.66           7.754
              86           19.99           9.066
              87           92.18           8.191
              88          -67.01           8.506
              89          -19.98           8.698
              90           45.21           7.909
              91           113.5           8.985
              92          -60.25           7.801
              93          -3.551           12.01
              94           61.11           7.558
              95           154.5           10.46
              96          -76.81           9.375
              97          -53.31           7.919
              98           17.39           15.88
              99           78.14           13.74
             100          -77.58           8.959
             101          -40.46           8.264
             102            44.6           11.79
             103           98.91           10.52
             104          -81.69            8.54
             105          -16.74           8.619
             106           43.71           11.57
             107           126.2            11.1
             108          -47.15           7.788
             109           6.704           8.948
             110           56.75           12.24
             111           149.6            11.9
             112          -100.1           10.96
             113           -52.2           7.617
             114           16.44           11.72
             115           65.97           7.839
             116          -80.61           9.105
             117          -29.89           7.496
             118           21.01           9.709
             119           94.18           7.929
             120          -67.61           8.079
             121          -25.62           8.624
             122           25.29           7.632
             123           109.2           9.422
             124          -47.96           7.545
             125           -23.1           16.32
             126           70.82           7.969
             127           144.8           11.43
APV               11              11               1               5
               0           159.4           30.61
               1          -16.62            23.7
               2          -15.57           21.88
               3          -84.35           19.37
               4          -100.8           10.56
               5          -35.39           8.975
               6          0.1133           15.03
               7           22.41           10.55
               8           -23.9           7.934
               9          -21.48           8.831
              10           7.519           9.573
              11           25.72           9.749
              12          -58.58           8.664
              13          -11.61           8.927
              14           5.066           9.334
              15           32.18            9.83
              16          -52.93           9.755
              17          -24.84            7.84
              18          -12.67           21.68
              19           14.71           8.959
              20          -40.43           9.189
              21          -17.46           7.894
              22           2.595           11.62
              23           37.74           7.757
              24          -46.93           8.358
              25          -5.863           8.307
              26            18.4           9.464
              27           28.82           8.015
              28          -26.58           7.628
              29          -1.928           10.82
              30           2.087           8.731
              31           52.18           8.813
              32          -44.79           9.782
              33          -16.64           9.091
              34           2.399           10.29
              35           37.41           10.61
              36          -22.08           8.831
              37           -14.1           8.928
              38           18.82           10.77
              39           31.77           9.687
              40          -36.12           8.229
              41           6.066           8.193
