# format = APV crate slot mpd_id adc_ch followed by
# APV_channel_number(0-127) pedestal_mean pedestal_rms
APV                2              13               3               1
              78           41.02           13.34
              79           84.07           19.29
              80          -61.74           16.18
              81          -23.46           11.31
              82           15.09           14.14
              83           44.45           11.01
              84          -56.79           14.18
              85          -10.13           10.59
              86          -1.186            10.5
              87           72.09           11.37
              88          -58.91           12.48
              89           2.495           10.75
              90           37.66           11.07
              91           61.16           14.24
              92             -25           11.54
              93          -7.442           13.19
              94           24.63           10.53
              95           79.74            14.8
              96          -71.68           14.19
              97          -39.15           11.09
              98           26.45            18.4
              99           50.31            15.2
             100          -67.09           13.38
             101          0.9776           10.95
             102           24.53           14.27
             103           49.39           12.84
             104          -39.56            11.8
             105          -4.156           11.08
             106           32.82            14.5
             107           52.21           20.66
             108          -34.48           10.92
             109           -9.49            10.9
             110           30.01           14.68
             111           95.96           15.14
             112          -59.49           15.96
             113          -37.29           11.05
             114           6.562           13.08
             115           37.96           11.05
             116          -52.32           13.11
             117            4.78            10.1
             118           15.96           10.71
             119           68.69           11.37
             120          -46.97           12.01
             121          -13.44           10.69
             122            19.1           10.78
             123           33.57           25.17
             124          -54.29           11.36
             125           10.83           16.39
             126           36.97           10.75
             127           116.1           14.32
APV                2              13               3               5
               0           103.1           43.88
               1          -51.68           26.55
               2          -24.98           18.89
               3          -31.11           15.19
               4          -89.46            14.4
               5          -81.52           12.57
               6         -0.1954           15.75
               7           78.33           13.91
               8          -44.31           12.31
               9          -35.85           12.75
              10           32.34           12.99
              11           87.69           14.25
              12          -40.67           12.38
              13           -21.4           12.54
              14           52.73           13.08
              15           81.78           14.01
              16          -19.36           15.59
              17          -48.99           12.06
              18           -5.35           30.51
              19           57.54           12.99
              20          -37.26           14.22
              21          -34.71            11.8
              22           3.767           14.04
              23           87.72           12.45
              24          -55.29           12.89
              25          -43.91           12.27
              26           24.69           13.46
              27           78.28           13.62
              28          -55.29           11.95
              29          -40.52           14.25
              30           45.31            12.6
              31           104.2           14.08
              32          -34.47           15.69
              33          -61.26           12.86
              34          -8.172           11.92
              35           76.89           14.63
              36          -31.48           13.58
              37          -40.91           12.88
              38           7.615            12.6
              39           84.78           13.49
              40          -55.69           12.86
              41          -31.32           12.49
              42           37.54           14.14
              43           90.97              15
              44          -33.37           12.89
              45          -17.65           12.45
              46           44.11           12.52
              47           97.78           14.79
              48          -47.02           16.47
              49           -46.3           11.91
              50           7.372           19.82
              51           75.15           13.04
              52          -38.45           13.54
              53          -42.57           11.93
              54           2.318            13.5
              55           93.06           12.49
              56          -35.23            12.7
              57          -45.07           12.32
              58            36.5           13.06
              59           94.54           13.85
              60          -36.11           11.81
              61          -22.13           15.68
              62           65.05           12.28
              63           110.1           14.51
              64          -43.26           15.32
              65          -46.03            11.6
              66          -8.426           17.21
              67           65.81           16.27
              68          -41.08           13.75
              69          -33.97           12.16
              70           24.72           15.72
              71           96.28           14.41
              72          -52.82           12.42
              73          -38.01            11.9
              74            52.6           15.45
              75           111.1           16.04
              76          -38.92           11.54
              77          -2.433           11.31
              78           58.89           47.36
              79            83.8           15.91
              80          -42.24           16.63
              81          -48.91           11.75
              82          -3.786            16.2
              83           67.76           12.99
              84          -41.74           14.17
              85          -52.39           11.46
              86           5.815           12.19
              87           69.58           12.94
              88          -40.55           12.65
              89          -22.57            12.5
              90           41.74           12.84
              91           103.9           15.11
              92          -32.69            11.6
              93          -39.51           15.91
              94            74.6           13.39
              95           109.5           14.92
              96          -46.19           14.67
              97          -39.33           12.08
              98          -2.896           16.62
              99           77.37           15.83
             100          -35.46           13.34
             101          -35.96           12.67
             102           31.43           14.73
             103           73.79           13.83
             104          -49.44           12.01
             105          -8.548           12.52
             106           52.29           15.41
             107           105.1           15.92
             108          -22.34           11.39
             109          -15.79           11.76
